0: 
1: 
2: 43.576, 43.695, 43.663, 43.634, 43.547, 43.584, 43.573, 43.562, 43.573, 43.502, 43.998, 43.52, 43.543, 43.5, 43.532, 43.566, 43.51, 43.502, 43.469, 43.551, 43.519, 43.492, 43.542, 43.496, 43.472, 43.365, 43.376, 43.442, 43.344, 43.391, 43.367, 43.318, 43.374, 43.37, 43.372, 43.401, 43.294, 43.66, 43.336, 43.335, 43.313, 43.34, 43.386, 43.348, 44.087, 43.344, 43.421, 43.389, 43.353, 43.34, 43.359, 43.411, 43.368, 43.376, 43.354, 43.382, 43.403, 43.35, 43.402, 43.396, 43.366, 43.36, 43.394, 43.36, 43.412, 43.325, 43.368, 43.347, 43.388, 43.378, 43.342, 43.378, 43.462, 43.352, 43.358, 43.395, 43.376, 43.349, 43.356, 43.387, 43.39, 43.343, 43.431, 43.392, 43.351, 43.332, 43.344, 43.356, 43.594, 43.393, 43.383, 43.363, 43.338, 43.377, 43.438, 43.963, 43.394, 43.392, 43.414, 43.339, 
3: 58.989, 59.286, 59.212, 59.096, 59.129, 59.113, 59.209, 59.188, 59.131, 59.098, 59.166, 59.098, 59.058, 59.078, 59.039, 59.102, 59.118, 59.093, 59.07, 59.166, 59.183, 59.055, 59.082, 59.178, 59.018, 59.006, 59.032, 59.078, 59.056, 59.255, 59.117, 58.971, 59.002, 59.661, 59.008, 58.997, 58.988, 59.033, 59.033, 59.004, 58.957, 59.065, 59.059, 59.142, 59.102, 59.097, 59.153, 59.137, 59.14, 59.067, 59.077, 59.06, 59.009, 59.067, 59.044, 59.075, 59.03, 59.011, 59.04, 58.991, 59.04, 58.945, 59.047, 58.941, 59.023, 58.994, 58.998, 59.236, 59.023, 59.013, 58.872, 59.029, 59.346, 58.88, 59.031, 59.087, 59.044, 58.869, 58.88, 58.912, 58.888, 58.998, 58.856, 58.95, 58.952, 58.91, 58.923, 58.876, 58.866, 58.911, 58.897, 58.832, 59.01, 58.888, 58.915, 58.952, 58.996, 58.969, 58.972, 59.003, 
4: 79.017, 79.432, 79.284, 79.728, 79.33, 79.484, 80.135, 79.391, 79.326, 79.291, 79.4, 79.354, 79.35, 79.369, 79.307, 79.285, 79.344, 79.423, 79.408, 79.317, 79.254, 79.264, 79.242, 79.261, 79.309, 79.213, 79.307, 79.203, 79.367, 79.216, 79.297, 79.725, 79.237, 79.289, 79.243, 79.804, 79.255, 79.225, 79.707, 79.298, 79.225, 79.224, 79.322, 79.318, 79.209, 79.2, 79.337, 79.186, 79.237, 79.28, 79.556, 79.263, 79.194, 79.332, 79.288, 79.232, 79.224, 79.292, 79.706, 79.196, 79.457, 79.142, 79.188, 79.179, 79.821, 79.206, 79.235, 79.253, 79.171, 79.152, 79.13, 79.213, 79.153, 79.157, 79.171, 79.17, 79.136, 79.28, 79.285, 79.165, 79.158, 79.183, 79.112, 79.244, 79.24, 79.312, 79.222, 79.152, 79.223, 79.485, 79.118, 79.162, 79.105, 79.672, 79.183, 79.093, 79.056, 79.04, 79.193, 79.109, 
5: 94.742, 95.226, 95.191, 95.142, 95.129, 95.072, 95.079, 95, 94.98, 94.848, 94.855, 95.108, 95.046, 95.04, 95.311, 95.098, 95.074, 95.61, 94.976, 94.996, 95.037, 95.087, 95.11, 94.904, 94.908, 95.016, 94.986, 94.898, 94.952, 95.013, 94.913, 94.809, 95.014, 94.95, 94.802, 95.037, 94.989, 94.863, 95.161, 95.01, 94.942, 95.531, 94.91, 94.926, 95.077, 94.925, 94.929, 94.824, 95.013, 94.801, 94.871, 94.987, 94.974, 94.888, 94.896, 94.881, 94.937, 94.962, 94.93, 94.879, 94.987, 94.987, 95.353, 94.964, 94.882, 95.545, 95.037, 94.899, 94.984, 95, 94.981, 94.883, 94.954, 95.006, 94.836, 94.969, 94.963, 94.968, 94.796, 95.042, 94.918, 94.778, 94.716, 94.912, 94.961, 94.794, 95.236, 94.96, 94.837, 95.219, 94.919, 94.774, 94.946, 94.873, 94.999, 94.847, 94.908, 94.807, 94.648, 94.826, 
6: 115.293, 115.64, 115.624, 115.732, 116.591, 115.763, 115.674, 115.505, 116.101, 115.538, 116.178, 115.509, 115.417, 115.514, 115.441, 115.444, 115.421, 115.396, 115.486, 115.443, 115.497, 115.519, 115.492, 115.574, 115.448, 115.774, 115.52, 115.41, 115.98, 115.507, 116.058, 115.605, 115.631, 115.54, 115.42, 115.323, 115.377, 115.492, 115.301, 115.289, 115.57, 115.226, 115.381, 115.43, 115.293, 115.668, 115.453, 115.396, 115.59, 115.482, 115.994, 115.51, 115.442, 115.495, 115.425, 115.314, 115.413, 115.296, 115.309, 115.338, 115.331, 115.343, 115.491, 115.313, 115.261, 115.334, 115.28, 115.307, 115.923, 115.244, 115.824, 115.388, 115.53, 115.258, 115.314, 115.251, 115.194, 115.2, 115.318, 115.212, 115.189, 115.208, 115.249, 115.259, 115.373, 115.305, 115.315, 115.374, 115.242, 115.222, 115.91, 115.28, 115.26, 115.213, 115.237, 115.207, 115.23, 115.197, 115.182, 115.102, 
7: 130.822, 131.888, 131.303, 131.641, 131.654, 131.465, 132.027, 131.324, 131.95, 131.284, 131.287, 131.399, 131.185, 131.099, 131.251, 131.398, 131.386, 131.383, 131.496, 131.38, 131.538, 131.537, 131.422, 131.804, 131.033, 131.326, 131.812, 131.215, 131.124, 131.2, 131.253, 131.119, 131.222, 131.438, 131.147, 131.331, 131.251, 131.099, 131.172, 131.383, 131.5, 131.765, 131.17, 131.117, 131.71, 131.163, 131.222, 131.03, 131.169, 131.297, 131.191, 131.151, 131.124, 131.747, 131.191, 131.193, 131.243, 131.163, 131.224, 131.462, 131.261, 131.625, 131.247, 131.181, 131.405, 131.226, 131.126, 131.096, 131.03, 130.957, 131.044, 131.099, 130.992, 130.993, 131.065, 131.498, 131.063, 131.529, 131.257, 131.642, 131.169, 131.151, 131.144, 131.04, 131.224, 131.136, 131.022, 130.945, 131.075, 131.04, 131.037, 130.786, 130.841, 130.934, 131.025, 131.313, 130.881, 131.703, 131.163, 131.108, 
8: 151.136, 151.987, 151.742, 151.751, 152.517, 152.129, 152.428, 152.058, 151.83, 151.699, 152.024, 151.777, 152.683, 151.751, 151.858, 151.93, 152.001, 151.84, 151.773, 151.967, 151.887, 151.608, 151.775, 151.804, 151.873, 152.065, 151.6, 152.4, 151.635, 151.831, 151.594, 151.726, 151.653, 152.287, 151.631, 151.597, 151.766, 151.597, 151.63, 151.547, 151.581, 151.763, 151.44, 151.8, 151.64, 151.71, 151.578, 151.725, 151.29, 151.645, 151.418, 151.994, 151.455, 151.681, 151.489, 151.468, 152.025, 151.412, 152.005, 151.662, 151.355, 151.64, 151.357, 151.752, 151.669, 151.362, 151.344, 151.451, 151.593, 151.463, 151.416, 151.599, 151.3, 151.938, 151.31, 151.485, 151.354, 151.257, 151.387, 151.253, 151.432, 151.239, 151.458, 151.341, 151.544, 151.437, 151.766, 151.285, 152.195, 151.582, 151.482, 151.436, 151.136, 151.223, 151.115, 151.065, 151.366, 151.325, 151.303, 151.138, 
9: 167.652, 169.219, 169.456, 168.626, 168.59, 168.323, 168.326, 168.221, 168.124, 168.525, 168.286, 168.364, 168.402, 168.322, 168.955, 168.326, 168.816, 168.458, 168.087, 168.279, 168.168, 168.14, 168.082, 168.116, 168.043, 168.218, 168.102, 168.353, 168.469, 167.942, 168.579, 167.58, 167.916, 168.561, 168.225, 167.719, 167.614, 167.879, 167.892, 167.837, 167.86, 167.798, 168.319, 167.786, 168.781, 167.973, 167.886, 167.836, 167.596, 167.903, 167.88, 167.585, 167.768, 167.983, 167.825, 167.904, 168.333, 168.261, 167.655, 168.259, 168.114, 167.93, 167.974, 167.891, 167.705, 167.845, 167.641, 167.879, 168.076, 168.106, 167.703, 168.471, 167.713, 167.82, 167.589, 167.798, 167.701, 167.757, 167.535, 167.685, 167.612, 167.685, 167.792, 167.795, 167.709, 167.714, 167.63, 167.512, 167.613, 167.63, 167.649, 167.438, 167.629, 167.584, 167.666, 167.451, 167.711, 167.951, 167.604, 167.61, 
10: 188.367, 189.315, 189.418, 189.021, 188.885, 189.081, 189.132, 188.953, 189.036, 188.915, 189.097, 189.355, 189.028, 189.637, 189.107, 188.654, 188.72, 189.304, 188.993, 188.958, 188.635, 188.866, 189.223, 189.195, 188.551, 188.886, 188.681, 188.97, 188.871, 189.007, 188.676, 188.553, 188.877, 188.952, 189.018, 188.889, 188.47, 188.859, 188.934, 188.926, 188.442, 188.533, 188.469, 188.795, 188.79, 188.649, 188.678, 188.53, 188.73, 188.771, 188.547, 188.571, 188.544, 188.41, 188.131, 188.338, 188.15, 188.465, 188.287, 188.608, 188.166, 188.43, 188.633, 188.218, 188.358, 188.46, 188.291, 188.181, 188.293, 188.201, 188.466, 188.485, 188.694, 188.451, 188.18, 188.267, 188.602, 188.65, 188.498, 188.397, 188.566, 188.209, 188.583, 188.217, 188.186, 188.45, 188.38, 188.372, 188.232, 188.073, 188.256, 188.367, 188.165, 187.837, 187.813, 188.129, 188.02, 188.268, 187.929, 188.096, 
11: 204.656, 205.833, 205.754, 205.514, 205.758, 205.57, 205.667, 205.533, 205.41, 205.509, 205.222, 205.151, 205.337, 205.467, 205.316, 205.057, 205.24, 205.357, 205.347, 205.199, 205.266, 205.022, 205.147, 205.37, 205.099, 205.127, 205.46, 205.373, 205.385, 205.372, 205.085, 205.026, 205.02, 205.226, 205.205, 204.991, 205.031, 205.233, 205.358, 205.137, 204.972, 204.962, 204.956, 204.939, 204.994, 205.1, 205.092, 205.109, 205.01, 204.97, 204.761, 204.888, 204.979, 205.045, 205.051, 204.946, 204.81, 205.03, 205.299, 205.225, 205.16, 204.875, 204.806, 204.772, 205.387, 204.791, 204.936, 204.753, 204.79, 204.776, 204.893, 204.873, 204.739, 204.685, 204.781, 204.575, 204.861, 204.882, 204.732, 204.964, 204.84, 204.92, 204.751, 204.802, 204.945, 204.877, 204.646, 204.65, 204.727, 204.853, 204.559, 204.791, 205.029, 204.636, 204.616, 204.804, 204.599, 204.603, 204.744, 204.833, 
